No-change_LCMS	No-change_Pho	Down_Pho	Up_Pho
CNAG_00891	CNAG_04283
CNAG_04114	CNAG_07936
CNAG_06079	CNAG_01609
CNAG_04304	CNAG_04755
CNAG_02338	CNAG_07689
CNAG_02815	CNAG_02165
CNAG_00386	CNAG_01632
CNAG_03948	CNAG_03114
CNAG_07032	CNAG_04211
CNAG_03153	CNAG_05074
CNAG_00268	CNAG_07688
CNAG_02812	CNAG_06796
CNAG_00581	CNAG_07321
CNAG_03281	CNAG_03874
CNAG_04776	CNAG_06591
CNAG_06630	CNAG_04479
CNAG_01870	CNAG_04796
CNAG_03347	CNAG_04710
CNAG_03812	CNAG_04090
CNAG_03748	CNAG_02505
CNAG_00256	CNAG_05517
CNAG_03297	CNAG_01025
CNAG_01021	CNAG_03409
CNAG_00809	CNAG_01300
CNAG_02825	CNAG_02179
CNAG_06370	CNAG_01094
CNAG_00684	CNAG_01195
CNAG_07177	CNAG_01119
CNAG_01586	CNAG_04772
CNAG_06605	CNAG_04962
CNAG_00165	CNAG_04441
CNAG_00774	CNAG_06693
CNAG_02736	CNAG_01918
CNAG_00356	CNAG_04355
CNAG_00575	CNAG_04367
CNAG_02816	CNAG_01404
CNAG_01639	CNAG_04106
CNAG_03682	CNAG_03781
CNAG_06688	CNAG_06160
CNAG_04698	CNAG_02338
CNAG_01709	CNAG_03950
CNAG_04312	CNAG_01716
CNAG_02257	CNAG_06797
CNAG_05013	CNAG_05352
CNAG_06153	CNAG_05485
CNAG_01877	CNAG_02606
CNAG_01523	CNAG_02702
CNAG_00605	CNAG_01282
CNAG_01270	CNAG_05520
CNAG_04010	CNAG_01445
CNAG_05125	CNAG_04895
CNAG_04951	CNAG_02219
CNAG_07487	CNAG_02686
CNAG_00533	CNAG_02312
CNAG_06377	CNAG_06401
CNAG_02799	CNAG_02128
CNAG_00626	CNAG_00604
CNAG_02925	CNAG_02080
CNAG_05978	CNAG_07863
CNAG_03596	CNAG_04098
CNAG_02084	CNAG_06927
CNAG_00662	CNAG_07419
CNAG_00622	CNAG_02515
CNAG_05596	CNAG_02342
CNAG_05355	CNAG_05767
CNAG_02377	CNAG_07373
CNAG_05140	CNAG_07686
CNAG_04004	CNAG_01579
CNAG_02763	CNAG_03142
CNAG_05827	CNAG_02877
CNAG_06113	CNAG_06150
CNAG_04744	CNAG_01595
CNAG_01991	CNAG_02006
CNAG_00734	CNAG_03891
CNAG_05041	CNAG_07551
CNAG_02301	CNAG_04232
CNAG_06806	CNAG_02977
CNAG_03457	CNAG_03864
CNAG_05097	CNAG_05579
CNAG_02853	CNAG_03846
CNAG_05366	CNAG_00709
CNAG_09012	CNAG_02995
CNAG_01958	CNAG_04453
CNAG_05311	CNAG_03217
CNAG_05398	CNAG_02997
CNAG_01627	CNAG_07989
CNAG_01686	CNAG_00506
CNAG_02445	CNAG_04678
CNAG_05457	CNAG_01156
CNAG_03705	CNAG_07773
CNAG_02196	CNAG_05889
CNAG_01130	CNAG_05363
CNAG_03769	CNAG_03247
CNAG_03722	CNAG_01153
CNAG_05925	CNAG_03386
CNAG_03677	CNAG_03408
CNAG_05886	CNAG_05665
CNAG_00326	CNAG_06790
CNAG_06906	CNAG_07320
CNAG_06316	CNAG_03584
CNAG_05848	CNAG_07580
CNAG_01152	CNAG_07982
CNAG_04605	CNAG_02408
CNAG_06147	CNAG_02195
CNAG_06421	CNAG_02856
CNAG_01990	CNAG_00413
CNAG_03554	CNAG_04054
CNAG_01266	CNAG_04174
CNAG_04445	CNAG_03368
CNAG_06220	CNAG_03789
CNAG_01548
CNAG_07108
CNAG_04032
CNAG_00500
CNAG_01881
CNAG_06764
CNAG_01961
CNAG_02415
CNAG_07354
CNAG_00305
CNAG_02208
CNAG_05826
CNAG_00046
CNAG_02404
CNAG_03638
CNAG_04906
CNAG_00482
CNAG_07719
CNAG_06600
CNAG_03974
CNAG_00040
CNAG_00108
CNAG_05219
CNAG_01019
CNAG_02575
CNAG_03459
CNAG_02817
CNAG_07558
CNAG_06773
CNAG_00315
CNAG_04652
CNAG_00808
CNAG_01112
CNAG_01976
CNAG_03944
CNAG_05554
CNAG_03058
