gene_id	LFC
CNAG_04830	-5.20E-01
CNAG_12725	-1.47E+00
CNAG_01737	-3.45E-01
CNAG_05001	-1.85E-01
CNAG_07517	5.69E-01
CNAG_01419	-3.22E-01
CNAG_06724	2.62E-01
CNAG_02330	-5.34E-01
CNAG_02309	4.44E-01
CNAG_12865	-1.60E+00
CNAG_06758	1.06E+00
CNAG_10024	-2.51E+00
CNAG_12255	-2.42E+00
CNAG_07400	-2.47E-01
CNAG_06870	1.15E+00
CNAG_03435	-5.61E-01
CNAG_07992	-5.84E-01
CNAG_02114	1.05E+00
CNAG_06394	3.15E-01
CNAG_07790	-3.03E-01
CNAG_07449	-5.31E-01
CNAG_06805	-9.80E-01
CNAG_05226	-4.45E-01
CNAG_12282	3.53E+00
CNAG_01955	7.21E+00
CNAG_06588	4.66E-01
CNAG_03263	-4.08E-01
CNAG_00092	-2.63E-01
CNAG_00316	-3.88E-01
CNAG_04837	1.01E+00
CNAG_00515	1.71E+00
CNAG_00183	-4.61E-01
CNAG_04967	3.19E-01
CNAG_04215	-6.88E-01
CNAG_03194	-1.09E+00
CNAG_02214	1.28E+00
CNAG_13073	3.19E+00
CNAG_07407	3.72E-01
CNAG_05469	7.39E-01
CNAG_03408	-1.15E+00
CNAG_00873	1.06E+00
CNAG_03883	-5.21E-01
CNAG_12894	2.76E+00
CNAG_06310	4.02E-01
CNAG_01485	-4.41E-01
CNAG_07334	-2.20E-01
CNAG_00410	-2.18E-01
CNAG_01651	3.01E-01
CNAG_05268	-5.58E-01
CNAG_02550	5.42E-01
CNAG_03221	-5.85E-01
CNAG_05720	2.85E-01
CNAG_06506	-2.60E-01
CNAG_01789	-2.48E-01
CNAG_00594	7.40E-01
CNAG_04448	-3.27E-01
CNAG_07369	2.80E+00
CNAG_05342	-2.48E-01
CNAG_06904	6.05E-01
CNAG_07984	-1.40E+00
CNAG_02545	-2.28E-01
CNAG_06383	9.72E-01
CNAG_12323	5.79E-01
CNAG_03188	2.06E-01
CNAG_00601	1.61E+00
CNAG_04014	2.20E-01
CNAG_00426	3.93E-01
CNAG_04639	4.75E-01
CNAG_12098	1.31E+00
CNAG_04963	1.10E+00
CNAG_01926	-2.18E-01
CNAG_03457	-3.63E-01
CNAG_05893	2.54E-01
CNAG_06420	-3.90E-01
CNAG_12874	-1.25E+00
CNAG_05310	1.21E+00
CNAG_01232	1.93E+00
CNAG_07495	-2.21E+00
CNAG_01663	2.28E-01
CNAG_05396	3.89E-01
CNAG_01607	-3.21E-01
CNAG_04989	-3.55E-01
CNAG_01080	3.13E-01
CNAG_04904	3.20E-01
CNAG_01015	2.01E-01
CNAG_06239	6.40E-01
CNAG_00709	2.27E-01
CNAG_07547	-1.81E+00
CNAG_05547	2.58E+00
CNAG_06014	4.96E-01
CNAG_02856	-3.08E-01
CNAG_12539	-1.38E+00
CNAG_00359	8.63E-01
CNAG_12664	-9.77E-01
CNAG_05866	6.14E-01
CNAG_00816	6.97E-01
CNAG_04304	-1.62E-01
CNAG_05091	-3.93E-01
CNAG_04386	-9.16E-01
CNAG_03270	-4.56E-01
CNAG_00453	-4.56E-01
CNAG_03181	7.84E-01
CNAG_05190	4.33E-01
CNAG_04189	-4.03E-01
CNAG_06315	-2.57E-01
CNAG_02331	-4.50E-01
CNAG_03072	2.18E-01
CNAG_04705	2.68E-01
CNAG_00365	-1.74E-01
CNAG_07529	1.89E-01
CNAG_06592	2.75E-01
CNAG_04059	1.17E+00
CNAG_00692	4.37E-01
CNAG_02049	-6.60E-01
CNAG_02029	3.18E-01
CNAG_04634	9.53E-01
CNAG_03046	-2.94E-01
CNAG_06501	4.94E-01
CNAG_04450	1.87E-01
CNAG_02087	1.50E+00
CNAG_04658	-5.69E-01
CNAG_00915	7.96E-01
CNAG_01136	-4.86E-01
CNAG_02934	2.31E+00
CNAG_05809	-2.34E-01
CNAG_07329	4.36E-01
CNAG_03149	2.43E-01
CNAG_01602	9.72E-01
CNAG_04749	-6.61E-01
CNAG_06173	-5.12E-01
CNAG_12182	7.71E-01
CNAG_05428	-1.77E-01
CNAG_02687	-3.07E-01
